OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
2024-140ADK,CZ-6A DEB,61843,PRC,100.26,88.34,849,693,SMALL,0,8/6/24,
2024-140ADJ,CZ-6A DEB,61842,PRC,99.18,89.03,800,639,SMALL,0,8/6/24,
2024-140ADH,CZ-6A DEB,61841,PRC,101.81,88.99,901,788,SMALL,0,8/6/24,
2024-140ADG,CZ-6A DEB,61840,PRC,101.93,89.07,906,795,SMALL,0,8/6/24,
2024-140ADF,CZ-6A DEB,61839,PRC,100.72,88.94,813,773,SMALL,0,8/6/24,
2024-140ADE,CZ-6A DEB,61838,PRC,99.14,88.96,786,648,SMALL,0,8/6/24,
2024-140ADD,CZ-6A DEB,61837,PRC,102.41,88.86,953,792,SMALL,0,8/6/24,
2024-140ADC,CZ-6A DEB,61836,PRC,99.12,89.08,792,642,SMALL,0,8/6/24,
2024-140ADB,CZ-6A DEB,61835,PRC,101.14,89.01,836,789,SMALL,0,8/6/24,
2024-140ADA,CZ-6A DEB,61834,PRC,101.66,89.02,881,793,SMALL,0,8/6/24,
2024-140ACZ,CZ-6A DEB,61833,PRC,99.66,88.87,799,686,SMALL,0,8/6/24,
2024-140ACY,CZ-6A DEB,61832,PRC,99.89,89.16,859,647,SMALL,0,8/6/24,
2024-140ACX,CZ-6A DEB,61831,PRC,102.15,89,926,795,SMALL,0,8/6/24,
2024-140ACW,CZ-6A DEB,61830,PRC,97.11,89.35,709,532,SMALL,0,8/6/24,
2024-140ACV,CZ-6A DEB,61829,PRC,98.8,89.25,790,613,SMALL,0,8/6/24,
2024-140ACU,CZ-6A DEB,61828,PRC,102.56,89,973,786,SMALL,0,8/6/24,
2024-140ACT,CZ-6A DEB,61827,PRC,102.43,88.87,954,793,SMALL,0,8/6/24,
2024-140ACS,CZ-6A DEB,61826,PRC,100.92,89.06,817,787,SMALL,0,8/6/24,
2024-140ACR,CZ-6A DEB,61825,PRC,101.32,89.02,850,792,SMALL,0,8/6/24,
2024-140ACQ,CZ-6A DEB,61824,PRC,100.56,88.93,793,777,SMALL,0,8/6/24,
2024-140ACP,CZ-6A DEB,61823,PRC,102.56,89.08,965,794,SMALL,0,8/6/24,
2024-140ACN,CZ-6A DEB,61822,PRC,102.45,89.26,974,775,SMALL,0,8/6/24,
2024-140ACM,CZ-6A DEB,61821,PRC,97.97,89.07,772,551,SMALL,0,8/6/24,
2024-140ACL,CZ-6A DEB,61820,PRC,97.47,89.31,718,557,SMALL,0,8/6/24,
2024-140ACK,CZ-6A DEB,61819,PRC,98.06,89,745,587,SMALL,0,8/6/24,
2024-140ACJ,CZ-6A DEB,61818,PRC,99.13,89.18,818,616,SMALL,0,8/6/24,
